t-3,t-2,t-1,Y
58,45,296,291
45,296,291,42
296,291,42,30
291,42,30,19
42,30,19,15
30,19,15,11
19,15,11,11
15,11,11,10
11,11,10,7
11,10,7,5
10,7,5,4
7,5,4,7
5,4,7,4
4,7,4,13
7,4,13,6
4,13,6,13
13,6,13,5
6,13,5,12
13,5,12,11
5,12,11,15
12,11,15,29
11,15,29,287
15,29,287,164
29,287,164,41
287,164,41,186
164,41,186,332
41,186,332,504
186,332,504,765
332,504,765,651
504,765,651,538
765,651,538,656
651,538,656,775
538,656,775,809
656,775,809,311
775,809,311,502
809,311,502,503
311,502,503,724
502,503,724,690
503,724,690,718
724,690,718,668
690,718,668,436
718,668,436,195
668,436,195,569
436,195,569,373
195,569,373,178
569,373,178,162
373,178,162,732
178,162,732,442
162,732,442,1187
732,442,1187,711
442,1187,711,235
1187,711,235,588
711,235,588,639
235,588,639,532
588,639,532,425
639,532,425,458
532,425,458,201
425,458,201,702
458,201,702,475
201,702,475,485
702,475,485,495
475,485,495,234
485,495,234,247
495,234,247,258
234,247,258,792
247,258,792,621
258,792,621,450
792,621,450,474
621,450,474,478
450,474,478,465
474,478,465,198
478,465,198,462
465,198,462,726
198,462,726,474
462,726,474,618
726,474,618,762
474,618,762,629
618,762,629,497
762,629,497,230
629,497,230,710
497,230,710,813
230,710,813,717
710,813,717,621
813,717,621,109
717,621,109,109
621,109,109,109
109,109,109,84
109,109,84,89
109,84,89,65
84,89,65,78
89,65,78,328
65,78,328,75
78,328,75,60
32,23,14,25
23,14,25,279
14,25,279,145
25,279,145,11
279,145,11,256
145,11,256,11
11,256,11,14
256,11,14,9
11,14,9,12
14,9,12,7
9,12,7,10
12,7,10,11
7,10,11,9
10,11,9,8
11,9,8,14
9,8,14,11
8,14,11,7
14,11,7,15
11,7,15,12
7,15,12,12
15,12,12,19
12,12,19,21
12,19,21,11
19,21,11,18
21,11,18,24
11,18,24,29
18,24,29,36
24,29,36,313
29,36,313,302
36,313,302,39
313,302,39,41
302,39,41,58
39,41,58,574
41,58,574,61
58,574,61,572
574,61,572,296
61,572,296,810
572,296,810,340
296,810,340,342
810,340,342,363
340,342,363,95
342,363,95,586
363,95,586,96
95,586,96,120
586,96,120,361
96,120,361,122
120,361,122,376
361,122,376,345
122,376,345,370
376,345,370,397
345,370,397,155
370,397,155,360
397,155,360,575
155,360,575,339
360,575,339,122
575,339,122,355
339,122,355,110
122,355,110,366
355,110,366,394
110,366,394,640
366,394,640,129
394,640,129,639
640,129,639,117
129,639,117,381
639,117,381,646
117,381,646,636
381,646,636,401
646,636,401,504
636,401,504,608
401,504,608,127
504,608,127,656
608,127,656,147
127,656,147,142
656,147,142,253
147,142,253,365
142,253,365,126
253,365,126,645
365,126,645,391
126,645,391,369
645,391,369,120
391,369,120,107
369,120,107,79
120,107,79,83
107,79,83,92
79,83,92,63
83,92,63,330
92,63,330,66
63,330,66,306
330,66,306,310
66,306,310,304
306,310,304,298
310,304,298,38
304,298,38,34
46,288,32,16
288,32,16,268
32,16,268,10
16,268,10,14
268,10,14,7
10,14,7,2
14,7,2,7
7,2,7,9
2,7,9,3
7,9,3,6
9,3,6,10
3,6,10,6
6,10,6,65
10,6,65,35
6,65,35,5
65,35,5,7
35,5,7,5
5,7,5,5
7,5,5,5
5,5,5,21
5,5,21,22
5,21,22,23
21,22,23,20
22,23,20,21
23,20,21,270
20,21,270,48
21,270,48,175
270,48,175,303
48,175,303,468
175,303,468,560
303,468,560,598
468,560,598,202
560,598,202,221
598,202,221,542
202,221,542,863
221,542,863,562
542,863,562,447
863,562,447,181
562,447,181,339
447,181,339,497
181,339,497,531
339,497,531,293
497,531,293,734
531,293,734,505
293,734,505,451
734,505,451,403
505,451,403,356
451,403,356,355
403,356,355,285
356,355,285,274
355,285,274,176
285,274,176,368
274,176,368,244
176,368,244,304
368,244,304,155
244,304,155,129
304,155,129,385
155,129,385,369
