0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
2018-08-22,26.0,22.0,19.0,20.0,17.0,12.0,17.0,9.0,7.0,6.0,9.0,12.0,4.0,7.0,10.0,11.0,12.0,13.0,12.0,14.0,12.0,7.0,13.0,10.0,22.0,14.0,25.0,25.0,17.0,23.0,37.0,28.0,31.0,29.0,41.0,43.0,34.0,38.0,45.0,46.0,44.0,57.0,53.0,47.0,60.0,64.0,51.0,69.0,64.0,54.0,57.0,46.0,46.0,51.0,51.0,48.0,49.0,52.0,53.0,56.0,56.0,56.0,64.0,54.0,60.0,52.0,57.0,65.0,70.0,74.0,59.0,73.0,43.0,64.0,63.0,57.0,57.0,59.0,73.0,47.0,39.0,40.0,35.0,36.0,31.0,41.0,33.0,26.0,24.0,31.0,36.0,33.0,34.0,31.0,35.0,30.0
2018-08-24,22.0,25.0,32.0,17.0,25.0,19.0,17.0,14.0,13.0,15.0,14.0,10.0,6.0,11.0,7.0,2.0,14.0,9.0,12.0,13.0,14.0,7.0,8.0,13.0,13.0,13.0,23.0,20.0,25.0,28.0,29.0,29.0,42.0,32.0,38.0,48.0,53.0,47.0,46.0,36.0,55.0,54.0,50.0,54.0,66.0,53.0,50.0,59.0,42.0,64.0,68.0,50.0,62.0,55.0,49.0,62.0,56.0,51.0,60.0,59.0,49.0,50.0,59.0,53.0,55.0,63.0,79.0,68.0,66.0,62.0,58.0,82.0,63.0,61.0,68.0,47.0,52.0,48.0,58.0,62.0,53.0,55.0,44.0,38.0,47.0,48.0,35.0,36.0,31.0,25.0,38.0,34.0,31.0,37.0,31.0,26.0
2018-08-18,23.0,32.0,39.0,17.0,23.0,25.0,16.0,18.0,21.0,18.0,13.0,13.0,14.0,18.0,23.0,17.0,18.0,16.0,13.0,17.0,16.0,11.0,11.0,15.0,20.0,21.0,15.0,23.0,19.0,23.0,17.0,21.0,22.0,22.0,28.0,27.0,26.0,30.0,29.0,27.0,34.0,19.0,37.0,36.0,38.0,34.0,40.0,41.0,44.0,35.0,43.0,28.0,22.0,33.0,45.0,34.0,34.0,31.0,35.0,40.0,36.0,38.0,32.0,38.0,36.0,44.0,33.0,48.0,36.0,38.0,24.0,28.0,28.0,41.0,39.0,46.0,41.0,28.0,37.0,47.0,39.0,36.0,27.0,31.0,22.0,30.0,31.0,28.0,34.0,26.0,28.0,37.0,29.0,28.0,38.0,28.0
2018-08-25,31.0,24.0,39.0,34.0,24.0,22.0,28.0,24.0,14.0,17.0,14.0,17.0,17.0,20.0,21.0,13.0,20.0,14.0,22.0,15.0,21.0,16.0,14.0,15.5,17.0,15.0,17.0,19.0,11.0,23.0,28.0,28.0,22.0,25.0,32.0,26.0,40.0,34.0,33.0,30.0,35.0,32.0,29.0,39.0,36.0,47.0,40.0,44.0,48.0,40.0,37.0,36.0,38.0,39.0,43.0,39.0,41.0,42.0,39.0,35.0,32.0,33.0,30.0,41.0,50.0,39.0,42.0,50.0,44.0,32.0,33.0,34.0,44.0,39.0,33.0,48.0,35.0,21.0,26.0,36.0,29.0,32.0,26.0,22.0,31.0,29.0,23.0,29.0,32.0,25.0,26.0,22.0,33.0,35.0,25.0,29.0
2018-08-27,17.0,21.0,12.0,20.0,15.0,13.0,15.0,11.0,11.0,8.0,8.0,7.0,10.0,10.0,7.0,11.0,8.0,11.0,8.0,10.0,13.0,7.0,15.0,18.0,23.0,11.0,24.0,26.0,27.0,24.0,30.0,36.0,41.0,38.0,43.0,36.0,59.0,48.0,59.0,50.0,61.0,61.0,50.0,45.0,55.0,59.0,39.0,51.0,72.0,68.0,68.0,60.0,60.0,57.0,52.0,49.0,55.0,51.0,53.0,58.0,63.0,51.0,70.0,55.0,57.0,62.0,60.0,65.0,51.0,48.0,65.0,49.0,64.0,63.0,55.0,56.0,57.0,51.0,63.0,51.0,41.0,45.0,41.0,40.0,34.0,35.0,32.0,32.0,27.0,22.0,35.0,30.0,31.0,22.0,24.0,25.0
2018-08-15,29.0,22.0,23.0,17.0,30.0,14.0,9.0,19.0,12.0,17.0,16.0,10.0,13.0,16.0,12.0,17.0,17.0,18.0,21.0,19.0,19.0,11.0,8.0,11.0,18.0,17.0,16.0,17.0,23.0,16.0,20.0,25.0,27.0,21.0,28.0,26.0,27.0,37.0,25.0,29.0,37.0,37.0,36.0,39.0,41.0,35.0,42.0,38.0,42.0,43.0,44.0,24.0,31.0,46.0,40.0,36.0,30.0,39.0,36.0,44.0,39.0,37.0,45.0,49.0,48.0,50.0,42.0,48.0,51.0,42.0,42.0,33.0,32.0,37.0,47.0,39.0,34.0,37.0,42.0,37.0,43.0,28.0,29.0,31.0,23.0,18.0,42.0,23.0,36.0,29.0,27.0,29.0,22.0,36.0,21.0,26.0
2018-08-16,23.0,24.0,17.0,16.0,14.0,21.0,11.0,12.0,10.0,12.0,10.0,4.0,11.0,4.0,12.0,10.0,5.0,6.0,8.0,8.0,12.0,6.0,11.0,5.0,17.0,17.0,18.0,9.0,22.0,17.0,26.0,27.0,31.0,24.0,34.0,44.0,52.0,43.0,45.0,36.0,58.0,49.0,49.0,50.0,49.0,57.0,70.0,68.0,60.0,34.0,62.0,50.0,44.0,44.0,46.0,37.0,56.0,71.0,49.0,52.0,21.0,0.0,0.0,0.0,10.0,62.0,59.0,58.0,59.0,59.0,61.0,56.0,55.0,67.0,57.0,61.0,46.0,56.0,51.0,45.0,42.0,45.0,39.0,32.0,36.0,32.0,44.0,28.0,31.0,37.0,40.0,32.0,22.0,25.0,28.0,33.0
2018-08-17,29.0,18.0,22.0,24.0,21.0,18.0,10.0,17.0,8.0,9.0,14.0,8.0,7.0,12.0,11.0,6.0,4.0,12.0,8.0,6.0,13.0,7.0,19.0,12.0,20.0,18.0,20.0,21.0,24.0,20.0,23.0,27.0,25.0,28.0,42.0,31.0,38.0,42.0,43.0,46.0,59.0,47.0,47.0,47.0,56.0,48.0,48.0,54.0,50.0,54.0,48.0,46.0,47.0,54.0,46.0,43.0,42.0,50.0,46.0,51.0,54.0,57.0,58.0,59.0,40.0,58.0,67.0,52.0,62.0,60.0,67.0,42.0,61.0,51.0,65.0,59.0,44.0,51.0,42.0,30.0,43.0,48.0,31.0,35.0,38.0,29.0,36.0,44.0,31.0,29.0,28.0,32.0,23.0,27.0,37.0,37.0
2018-09-02,35.0,26.0,27.0,27.0,26.0,25.0,27.0,23.0,23.0,22.0,14.0,18.0,19.0,20.0,25.0,22.0,20.0,22.0,21.0,24.0,16.0,13.0,22.0,18.0,21.0,16.0,15.0,16.0,18.0,23.0,20.0,32.0,20.0,29.0,22.0,24.0,29.0,25.0,19.0,20.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-26,19.0,27.0,26.0,19.0,23.0,19.0,19.0,25.0,16.0,24.0,10.0,17.0,18.0,21.0,27.0,17.0,13.0,14.0,23.0,24.0,19.0,23.0,20.0,18.0,14.0,18.0,18.0,19.0,27.0,22.0,29.0,22.0,26.0,24.0,27.0,29.0,26.0,25.0,22.0,31.0,29.0,31.0,30.0,26.0,39.0,44.0,46.0,24.0,32.0,35.0,34.0,32.0,34.0,29.0,34.0,32.0,22.0,27.0,22.0,26.0,35.0,40.0,31.0,32.0,39.0,35.0,49.0,30.0,37.0,33.0,36.0,35.0,48.0,27.0,36.0,35.0,34.0,32.0,40.0,37.0,27.0,36.0,35.0,30.0,26.0,23.0,29.0,16.0,19.0,29.0,24.0,28.0,27.0,19.0,16.0,31.0
