t-3,t-2,t-1,Y
29,22,23,17
22,23,17,30
23,17,30,14
17,30,14,9
30,14,9,19
14,9,19,12
9,19,12,17
19,12,17,16
12,17,16,10
17,16,10,13
16,10,13,16
10,13,16,12
13,16,12,17
16,12,17,17
12,17,17,18
17,17,18,21
17,18,21,19
18,21,19,19
21,19,19,11
19,19,11,8
19,11,8,11
11,8,11,18
8,11,18,17
11,18,17,16
18,17,16,17
17,16,17,23
16,17,23,16
17,23,16,20
23,16,20,25
16,20,25,27
20,25,27,21
25,27,21,28
27,21,28,26
21,28,26,27
28,26,27,37
26,27,37,25
27,37,25,29
37,25,29,37
25,29,37,37
29,37,37,36
37,37,36,39
37,36,39,41
36,39,41,35
39,41,35,42
41,35,42,38
35,42,38,42
42,38,42,43
38,42,43,44
42,43,44,24
43,44,24,31
44,24,31,46
24,31,46,40
31,46,40,36
46,40,36,30
40,36,30,39
36,30,39,36
30,39,36,44
39,36,44,39
36,44,39,37
44,39,37,45
39,37,45,49
37,45,49,48
45,49,48,50
49,48,50,42
48,50,42,48
50,42,48,51
42,48,51,42
48,51,42,42
51,42,42,33
42,42,33,32
42,33,32,37
33,32,37,47
32,37,47,39
37,47,39,34
47,39,34,37
39,34,37,42
34,37,42,37
37,42,37,43
42,37,43,28
37,43,28,29
43,28,29,31
28,29,31,23
29,31,23,18
31,23,18,42
23,18,42,23
18,42,23,36
42,23,36,29
23,36,29,27
36,29,27,29
29,27,29,22
27,29,22,36
29,22,36,21
22,36,21,26
23,24,17,16
24,17,16,14
17,16,14,21
16,14,21,11
14,21,11,12
21,11,12,10
11,12,10,12
12,10,12,10
10,12,10,4
12,10,4,11
10,4,11,4
4,11,4,12
11,4,12,10
4,12,10,5
12,10,5,6
10,5,6,8
5,6,8,8
6,8,8,12
8,8,12,6
8,12,6,11
12,6,11,5
6,11,5,17
11,5,17,17
5,17,17,18
17,17,18,9
17,18,9,22
18,9,22,17
9,22,17,26
22,17,26,27
17,26,27,31
26,27,31,24
27,31,24,34
31,24,34,44
24,34,44,52
34,44,52,43
44,52,43,45
52,43,45,36
43,45,36,58
45,36,58,49
36,58,49,49
58,49,49,50
49,49,50,49
49,50,49,57
50,49,57,70
49,57,70,68
57,70,68,60
70,68,60,34
68,60,34,62
60,34,62,50
