0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
2011-02-21,28.0,15.0,17.0,5.0,7.0,12.0,5.0,2.0,1.0,3.0,7.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,6.0,5.0,4.0,7.0,12.0,19.0,19.0,17.0,18.0,16.0,28.0,27.0,30.0,39.0,39.0,35.0,47.0,43.0,49.0,56.0,53.0,59.0,42.0,45.0,47.0,46.0,57.0,62.0,52.0,52.5,53.0,59.0,63.0,63.0,55.0,49.0,44.0,61.0,66.0,61.0,58.0,54.0,50.0,59.0,56.0,64.0,68.0,88.0,80.0,81.0,80.0,71.0,83.0,72.0,70.0,61.0,88.0,80.0,89.0,86.0,73.0,63.0,62.0,47.0,35.0,42.0,37.0,34.0,39.0,39.0,35.0,33.0,33.0,21.0,19.0,25.0,16.0
2011-02-22,19.0,17.0,15.0,10.0,9.0,18.0,18.0,6.0,8.0,6.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,3.0,7.0,4.0,6.0,2.0,8.0,12.0,13.0,17.0,14.0,15.0,17.0,25.0,29.0,30.0,28.0,35.0,37.0,53.0,54.0,53.0,46.0,52.0,51.0,53.0,45.0,51.0,49.0,61.0,47.0,62.0,52.0,63.0,63.0,59.0,64.0,61.0,65.0,58.0,58.0,47.0,49.0,56.0,54.0,68.0,55.0,60.0,59.0,66.0,79.0,70.0,65.0,66.0,75.0,82.0,65.0,81.0,75.0,68.0,76.0,84.0,62.0,64.0,81.0,55.0,58.0,49.0,38.0,45.0,33.0,35.0,34.0,31.0,31.0,26.0,36.0,28.0,22.0,29.0
2011-02-23,23.0,12.0,14.0,9.0,11.0,7.0,20.0,11.0,8.0,9.0,8.0,7.0,8.0,7.0,4.0,5.0,4.0,4.0,8.0,9.0,7.0,6.0,6.0,15.0,15.0,13.0,14.0,18.0,23.0,22.0,33.0,25.0,45.0,37.0,37.0,43.0,55.0,57.0,46.0,51.0,42.0,48.0,47.0,57.0,34.0,53.0,52.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,68.0,63.0,86.0,88.0,86.0,74.0,80.0,81.0,69.0,71.0,87.0,80.0,74.0,82.0,59.0,57.0,48.0,50.0,40.0,48.0,37.0,32.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,27.0
2011-02-24,6.0,11.0,13.0,14.0,15.0,12.0,15.0,10.0,15.0,11.0,14.0,8.0,13.0,8.0,6.0,8.0,2.0,8.0,10.0,5.0,6.0,6.0,6.0,9.0,15.0,17.0,21.0,18.0,14.0,30.0,25.0,22.0,36.0,38.0,42.0,43.0,44.0,55.0,57.0,59.0,52.0,58.0,42.0,62.0,52.0,56.0,41.0,54.0,47.0,61.0,69.5,67.75,66.0,63.0,53.0,58.0,53.0,62.0,61.0,50.0,60.0,59.0,58.0,70.0,78.5,84.75,88.375,92.0,90.5,89.0,94.0,99.0,84.0,76.0,80.0,82.0,96.0,79.0,91.0,80.5,70.0,63.0,64.0,57.0,56.0,44.0,35.0,31.5,28.0,33.5,30.75,28.0,28.0,20.0,22.0,33.0
2011-02-25,30.0,27.0,18.0,14.0,19.0,15.0,14.0,14.0,13.0,17.0,15.0,21.0,18.0,11.0,8.0,11.0,8.0,13.0,11.0,11.0,10.0,14.0,18.0,12.0,23.0,22.0,24.0,24.5,25.0,28.5,32.0,30.0,46.0,41.0,47.0,34.0,55.0,57.0,54.0,59.0,47.0,51.0,48.5,46.0,54.0,58.0,64.0,49.0,70.0,71.5,73.75,72.875,72.0,69.5,60.75,52.0,55.5,59.0,58.0,58.0,59.0,63.5,68.0,65.0,74.0,82.0,71.0,75.0,79.0,83.0,88.0,71.0,105.0,84.0,79.0,78.0,87.0,101.0,80.0,74.0,68.0,69.5,65.25,61.0,58.5,53.25,45.625,38.0,29.0,27.0,24.0,26.0,27.0,22.0,25.0,22.0
2011-02-26,33.0,26.5,20.0,26.0,22.0,25.0,25.0,14.0,16.5,19.0,24.0,22.0,17.0,19.5,22.0,18.0,17.0,16.0,19.0,13.0,22.0,16.0,10.0,17.0,18.5,20.0,18.0,21.5,25.0,26.0,19.0,13.0,18.0,18.0,20.0,22.0,17.0,19.0,28.0,23.0,23.0,24.0,25.0,20.0,27.0,28.0,33.0,33.0,42.0,31.0,32.0,32.0,46.0,33.0,36.0,25.0,31.0,30.0,39.0,20.0,28.0,33.0,30.0,35.0,38.0,46.0,33.0,29.0,41.0,36.0,33.0,40.0,29.0,30.0,38.0,40.0,41.0,39.0,49.0,36.0,30.0,27.0,36.0,24.0,26.0,19.0,26.0,24.0,22.0,19.0,20.0,28.0,18.0,20.0,21.0,22.0
2011-02-27,16.0,17.0,16.0,17.0,15.0,21.0,25.0,25.0,25.0,28.0,24.5,21.0,22.0,24.5,26.25,30.125,27.0625,24.0,17.0,17.5,18.0,24.0,22.5,21.0,21.0,22.0,23.0,21.0,25.0,27.0,14.0,19.0,20.0,17.0,16.0,16.0,17.0,17.0,19.0,14.0,21.0,24.0,16.0,19.0,23.0,20.0,18.0,29.0,22.0,33.0,30.0,24.0,24.0,23.0,17.0,26.0,35.0,22.0,30.0,30.0,25.0,22.0,25.0,33.0,29.0,31.0,39.0,40.0,38.0,44.0,33.0,32.0,30.0,29.0,34.0,29.0,34.0,24.0,27.0,28.0,28.0,27.0,22.0,26.0,21.0,24.0,21.0,26.0,21.0,19.0,12.0,17.0,15.0,20.0,15.0,17.0
2011-03-09,15.0,15.0,4.0,10.0,7.0,4.0,6.0,8.0,7.0,6.0,6.0,4.0,4.0,4.0,7.0,6.0,2.0,2.0,10.0,7.0,2.0,1.0,7.0,14.0,17.0,18.0,19.0,24.0,21.0,24.0,23.0,24.0,23.0,33.0,39.0,29.0,48.0,43.0,48.0,51.0,45.0,46.0,59.0,51.0,58.0,59.0,52.0,61.0,63.0,60.0,50.0,44.0,57.0,48.0,43.0,46.0,58.0,47.0,52.0,50.0,49.0,46.0,58.0,60.0,61.0,53.0,56.0,65.0,67.0,70.0,75.0,63.0,68.0,73.0,70.0,60.0,79.0,63.0,70.0,70.0,55.0,55.0,45.0,45.0,37.0,30.0,35.0,31.0,28.0,38.0,26.0,23.0,25.0,20.0,31.0,14.0
2011-03-10,15.0,23.0,10.0,15.0,9.0,7.0,12.0,11.0,5.0,6.0,6.0,3.0,7.0,3.0,7.0,4.0,7.0,4.0,5.0,10.0,3.0,5.0,6.0,8.0,15.0,19.0,19.0,16.0,21.0,22.0,29.0,29.0,28.0,33.0,35.0,35.0,36.0,39.0,42.0,45.0,54.0,44.0,43.0,43.0,53.0,45.0,55.0,42.0,58.0,65.0,67.0,45.0,53.0,35.0,42.0,48.0,59.0,51.0,47.0,50.0,48.0,51.0,60.0,52.0,63.0,73.0,76.0,86.0,82.0,85.0,72.0,86.0,81.0,72.0,81.0,76.0,73.0,83.0,79.0,70.0,75.0,52.0,39.0,44.0,38.0,39.0,36.0,26.0,31.0,22.0,28.0,26.0,21.0,19.0,35.0,20.0
2011-03-11,22.0,27.0,13.0,10.0,16.0,10.0,11.0,12.0,15.0,16.0,12.0,7.0,10.0,9.0,8.0,8.0,6.0,4.0,12.0,11.0,8.0,7.0,8.0,11.0,18.0,24.0,21.0,18.0,19.0,27.0,27.0,32.0,36.0,31.0,41.0,39.0,29.0,41.0,44.0,39.0,52.0,43.0,42.0,57.0,63.0,55.0,56.0,67.0,68.0,67.0,66.0,70.0,55.0,54.0,51.0,41.0,53.0,59.0,55.0,64.0,51.0,68.0,59.0,60.5,62.0,76.0,79.0,66.0,85.0,90.0,79.0,72.0,66.0,72.0,70.0,83.0,70.0,71.0,63.0,81.0,74.0,68.5,63.0,61.0,40.0,34.0,38.0,41.0,35.0,29.0,28.0,27.0,30.0,25.0,30.0,24.0
